“ID”,"ORDEN","FAMILIA","NOMBRE CIENTIFICO","NOMBRE COMUN","NOMBRE EN INGLES","DS 004-2014-MINAGRI","STATUS  MIGRATORIO","Enero","Febrero","Marzo","Abril","Mayo","Junio",,
"45","CHARADRIIFORMES","LARIDAE","Sterna trudeaui","Gaviotin de Cabeza Blanca","Snowy-crowned Tern","","MN","","","","","","",,
"46","CHARADRIIFORMES","LARIDAE","Sternula lorata","Gaviotín peruano","Peruvian Tern","EN","MN","6","","","","","12",,
"47","CHARADRIIFORMES","LARIDAE","Thalasseus elegans","Gaviotín elegante","Elegant Tern","","MN","11","135","","","","",,
"48","CHARADRIIFORMES","LARIDAE","Thalasseus maximus","Gaviotín real","Royal Tern","","MN","","","","","","",,
"49","CHARADRIIFORMES","LARIDAE","Thalasseus sandvicensis","Gaviotín patas negras","Sandwich Tern","","MN","3247","293","","","","",,
"50","CHARADRIIFORMES","LARIDAE","Chroicocephalus serranus","Gaviota serrana","Andean Gull","","MAN","","7","13","","","",,
"51","CHARADRIIFORMES","LARIDAE","Chroicocephalus  maculipennis","Gaviota Capucha Café","Brown-hooded Gull","","MS","","","","","","",,
"52","CHARADRIIFORMES","LARIDAE","Leucophaeus modestus","Gaviota Gris","Gray Gull","","MS","","14","146","35","5","",,
"53","CHARADRIIFORMES","LARIDAE","Sterna paradisaea","Gaviota del artico","Arctic Tern","","MN","","","","","","",,
"54","CHARADRIIFORMES","LARIDAE","Larosterna inca","Zarcillo","Inca Tern","VU","ML","","","","","10","",,
"55","CHARADRIIFORMES","LARIDAE","Larus belcheri","Gaviota Peruana","Belcher’s (Band-tailed) Gull","","R","37","70","4","147","91","38",,
"56","CHARADRIIFORMES","LARIDAE","Larus dominicanus","Gaviota Dominicana","Kelp Gull","","ML","14","143","2","330","62","107",,
"57","CHARADRIIFORMES","LARIDAE","Chroicocephalus cirrocephalus","Gaviota Capucha Gris","Gray-hooded Gull","","R","135","668","235","344","191","108",,
"58","CHARADRIIFORMES","LARIDAE","Phaetusa simplex","Gaviotin picudo","Large-billed Tern","","MAN","","","","","","",,
"59","CHARADRIIFORMES","RECURVIROSTRIDAE","Himantopus mexicanus (mexicanus/melanurus)","Cigüeñuela de Cuello Negro - Perrito","Black-necked Stilt","","MN","26","28","21","11","","67",,
"60","CHARADRIIFORMES","RECURVIROSTRIDAE","Recurvirostra andina","Avoceta andina","Andean Avocet","","MAN","","","","","","",,
"61","CHARADRIIFORMES","RHYNCHOPIDAE","Rynchops niger","Rayador","Black Skimmer","","MS","214","354","800","356","76","",,
"62","CHARADRIIFORMES","SCOLOPACIDAE","Phalaropus tricolor","Falaropo de Wilson","Wilson’s Phalarope","","MN","1","","","","7","",,
"63","CHARADRIIFORMES","SCOLOPACIDAE","Phalaropus lobatus","Faláropo picofino","Red-necked Phalarope","","MS","","","","","","",,
"64","CHARADRIIFORMES","SCOLOPACIDAE","Phalaropus fulicarius","Faláropo picogrueso","Red Phalarope","","MS","","","","","","",,
"65","CHARADRIIFORMES","SCOLOPACIDAE","Actitis macularius","Playero Coleador","Spotted Sandpiper","","R","10","24","28","4","","",,
"66","CHARADRIIFORMES","SCOLOPACIDAE","Aphriza virgata","Chorlo de las Rompientes","Surfbird","","MN","","","","","","",,
