“ID”,"ORDEN","FAMILIA","NOMBRE CIENTIFICO","NOMBRE COMUN","NOMBRE EN INGLES","DS 004-2014-MINAGRI","STATUS  MIGRATORIO","Enero","Febrero","Marzo","Abril","Mayo","Junio",,
"184","PROCELLARIIFORMES","HYDROBATIDAE","Oceanodroma markhami","Paiño de Markham - Golondrina de Mar de Markham","Markham’s Storm-Petrel","VU","MS","","","","","","",,
"185","PROCELLARIIFORMES","PELECANOIDIDAE","Pelecanoides garnotii","Potoyunco Peruano","Peruvian Diving-Petrel","VU","ML","","","","","","",,
"186","PROCELLARIIFORMES","PROCELLARIIDAE","Pachyptila belcheri","Petrel Azul de Pico Delgado","Slender-billed (Thin-billed) Prion","","MN","","","","","","",,
"187","PROCELLARIIFORMES","PROCELLARIIDAE","Daption capense","Petrel Damero","Cape Petrel","","MS","","","","","","",,
"188","PROCELLARIIFORMES","PROCELLARIIDAE","Macronectes giganteus","Petrel Gigante Antártico - Sureño","Southern Giant-Petrel","NT","MS","","","","","","",,
"189","PROCELLARIIFORMES","PROCELLARIIDAE","Puffinus griseus","Pardela oscura","Sooty Shearwater","","MS","","","","","","",,
"190","PSITTACIFORMES","PSITTACIDAE","Brotogeris versicolurus","Pihuicho - Perico de Ala Amarilla","Canary-winged Parakeet","","MAN","","","","","","",,
"191","PSITTACIFORMES","PSITTACIDAE","Aratinga erythrogenys","Cotorra Cabeza Roja","Red-masked Parakeet","NT","ML","","","","","","",,
"192","PSITTACIFORMES","PSITTACIDAE","Aratinga wagleri","Cotorra de Wagler - Frente Roja","Scarlet-fronted Parakeet","","ML","","","","","","",,
"193","PSITTACIFORMES","PSITTACIDAE","Forpus coelestis","Perico Esmeralda","Pacific Parrotlet","","ML","","","","","","",,
"194","SPHENISCIFORMES","SPHENISCIDAE","Spheniscus humboldti","Pingüino de humbolt","Humboldt Penguin","EN","ML","","","","","","",,
"195","STRIGIFORMES","STRIGIDAE","Athene cunicularia","Lechuza de los arenales","Burrowing Owl","","R","5","6","","","8","3",,
"196","STRIGIFORMES","TYTONIDAE","Tyto alba","Lechuza de los campanarios","Barn-Owl","","R","","","","","","",,
"197","SULIFORMES","FREGATIDAE","Fregata magnificens","Avefragata Magnífica","Magnificent Frigatebird","","E","","","","","","",,
"198","SULIFORMES","PHALACROCORACIDAE","Phalacrocorax boungainvillii","Guanay","Cormorán Guanay","","ML","172","30","29","","334","7",,
"199","SULIFORMES","PHALACROCORACIDAE","Phalacrocorax brasilianus","Cushuri, cormorán, cuervo de mar","Neotropic Cormorant","","R","1258","1352","1062","1860","2591","668"
"200","SULIFORMES","PHALACROCORACIDAE","Phalacrocorax gaimardi","Cormorán de Patas Rojas - Chuita","Red-legged Cormorant","EN","ML","","81","","2","","",,
"201","SULIFORMES","SULIDAE","Sula nebouxii","Camanay","Blue-footed Booby","","MN","","","","","","",,
"202","SULIFORMES","SULIDAE","Sula variegata","Piquero común","Peruvian Booby","EN","R","","1813","266","750","138","",,
"","TOTAL  INDIVIDUOS","","","","","","","28678","17842","11063","6095","5708","3499",,
"","N° DE ESPECIES","","","","","","","67","235","70","61","63","51",,
